Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
305,Keegan Murray,25,SAC,PF,23,22,793,11.7,.499,.373,.163,4.5,14.3,9.3,6.8,1.5,4.2,7.7,18.7,-0.2,0.4,0.1,.009,-2.1,-1.1,-3.2,-0.2,,murrake02
306,Rob Dillingham,21,2TM,PG,58,0,792,7.2,.447,.307,.114,2.2,11.2,6.8,21.9,2.5,0.6,18.1,22.6,-1.7,0.8,-0.9,-0.054,-6.7,-0.5,-7.3,-1.1,,dilliro01
306,Rob Dillingham,21,MIN,PG,35,0,326,6.0,.404,.234,.142,1.7,11.8,6.9,24.1,2.8,0.8,19.4,24.0,-1.0,0.5,-0.5,-0.076,-7.9,-0.3,-8.2,-0.5,,dilliro01
306,Rob Dillingham,21,CHI,PG,23,0,466,8.0,.480,.361,.094,2.6,10.8,6.7,20.3,2.2,0.4,17.1,21.6,-0.7,0.3,-0.4,-0.038,-5.9,-0.7,-6.6,-0.5,,dilliro01
307,Kobe Brown,26,2TM,PF,55,4,789,11.6,.587,.525,.237,7.6,13.1,10.4,10.4,1.2,1.3,15.1,15.6,0.5,0.4,1.0,.060,-1.5,-1.4,-2.9,-0.2,,brownko01
307,Kobe Brown,26,LAC,PF,34,0,295,11.2,.524,.583,.310,7.4,13.4,10.5,12.6,1.5,0.6,13.6,16.6,0.1,0.2,0.3,.057,-1.2,-1.1,-2.3,0.0,,brownko01
307,Kobe Brown,26,IND,PF,21,4,494,11.8,.628,.489,.193,7.8,12.9,10.3,9.1,1.0,1.7,16.1,15.0,0.4,0.2,0.6,.062,-1.7,-1.6,-3.3,-0.2,,brownko01
308,Jaylen Clark,24,MIN,SG,63,0,784,10.1,.530,.422,.337,7.4,8.3,7.9,5.6,2.4,0.9,8.4,13.4,0.5,0.9,1.5,.089,-3.3,0.6,-2.7,-0.1,,clarkja02
309,Jonas Valančiūnas,33,DEN,C,59,5,779,20.5,.621,.060,.349,13.0,27.5,20.6,13.8,0.9,3.7,14.4,25.2,1.4,1.0,2.4,.145,-0.2,-0.4,-0.7,0.3,,valanjo01
310,Tyrese Martin,26,2TM,SG,45,6,775,10.3,.501,.596,.101,4.8,12.9,8.7,15.6,1.6,0.7,12.1,18.4,-0.3,0.4,0.1,.009,-1.9,-1.4,-3.3,-0.2,,martity01
310,Tyrese Martin,26,BRK,SG,37,6,696,10.8,.507,.596,.102,5.1,13.0,8.8,15.6,1.6,0.5,11.0,18.7,-0.1,0.4,0.2,.016,-1.5,-1.5,-3.0,-0.2,,martity01
310,Tyrese Martin,26,PHI,SG,8,0,79,6.1,.437,.591,.091,2.7,11.2,6.9,15.3,1.8,2.4,23.4,16.0,-0.2,0.1,-0.1,-0.061,-5.5,-0.2,-5.7,-0.1,,martity01
311,Dwight Powell,34,DAL,C,56,10,774,12.7,.709,.035,1.233,11.0,18.1,14.6,8.8,1.7,2.0,20.9,9.1,1.4,0.9,2.3,.141,-2.8,1.6,-1.2,0.2,,poweldw01
312,Josh Minott,23,2TM,PF,46,11,772,15.8,.662,.613,.239,6.8,15.2,10.9,8.4,2.6,2.5,14.6,16.2,1.2,1.1,2.3,.142,1.3,1.2,2.5,0.9,,minotjo01
312,Josh Minott,23,BOS,PF,33,10,526,15.7,.651,.566,.191,8.4,16.0,12.3,8.5,2.3,2.3,11.9,13.8,1.1,0.8,1.9,.173,0.8,1.3,2.2,0.6,,minotjo01
312,Josh Minott,23,BRK,SF,13,1,246,16.1,.679,.686,.314,3.1,13.5,8.0,8.1,3.2,3.0,18.4,21.2,0.1,0.3,0.4,.075,2.2,1.0,3.2,0.3,,minotjo01
